seed,family,job,arm,backend,mode,descriptor_index,chunk_ids,tokens,ready_skew_us,issue_skew_us,gpu_start_skew_us,ready_to_issue_us,issue_to_gpu_start_us,ready_to_gpu_start_us,gpu_comm_envelope_us,gpu_kernel_duration_us,router_overlap_us,router_overlap,rank_issues_before_final_router
13042,all_to_one_like,0,NCCL-D,nccl,D,0,0,512,0.735,188.705,294.646,129326.245,143.6685,129469.9135,338.256,134.438,0.0,False,0
13042,all_to_one_like,0,NCCL-D,nccl,D,1,1,512,8.414,132.581,308.9,153247.8875,155.2345,153403.122,311.876,68.649,0.0,False,0
13042,all_to_one_like,0,NCCL-D,nccl,D,2,2,512,22.884,127.217,313.158,179058.6445,155.7345,179214.37900000002,316.226,79.21600000000001,0.0,False,0
13042,all_to_one_like,0,NCCL-D,nccl,D,3,3,512,10.587,130.325,317.736,204700.756,156.1145,204856.87050000002,320.878,63.071,0.0,False,0
13042,all_to_one_like,0,NCCL-D,nccl,D,4,4,512,2.964,127.634,315.554,230610.65,156.105,230766.755,318.574,64.803,0.0,False,0
13042,all_to_one_like,0,NCCL-D,nccl,D,5,5,512,31.609,126.002,313.83,255856.7955,156.402,256013.1975,325.548,67.352,0.0,False,0
13042,all_to_one_like,0,NCCL-D,nccl,D,6,6+7,1024,9.096,132.968,653.186,281364.101,325.665,281689.766,656.176,62.607,0.0,False,0
13042,all_to_one_like,0,NCCL-P,nccl,P,0,0,512,1221.168,1419.49,1429.216,16499.701,223.654,16723.355,1432.576,17.936,0.0,False,0
13042,all_to_one_like,0,NCCL-P,nccl,P,1,1,512,1094.825,11927.636,12081.346,50576.7235,149.998,50726.7215,12104.864,86.767,0.0,False,0
13042,all_to_one_like,0,NCCL-P,nccl,P,2,2,512,1092.319,11936.871,12097.342,92143.881,152.7495,92296.6305,12100.316,73.821,0.0,False,0
13042,all_to_one_like,0,NCCL-P,nccl,P,3,3,512,1088.833,11919.356,12088.218,133625.5115,151.475,133776.9865,12110.754,84.709,0.0,False,0
13042,all_to_one_like,0,NCCL-P,nccl,P,4,4,512,1121.476,12829.76,12994.376,175793.267,149.894,175943.161,12997.382,77.599,0.0,False,0
13042,all_to_one_like,0,NCCL-P,nccl,P,5,5,512,1050.232,11926.199,12087.834,217307.52250000002,153.3015,217460.824,12105.734,77.50800000000001,0.0,False,0
13042,all_to_one_like,0,NCCL-P,nccl,P,6,6+7,1024,1192.444,24980.717,25475.072,268339.43350000004,317.7255,268657.159,25478.186,76.294,0.0,False,0
