seed,family,job,rank,mode,descriptor_index,trigger,chunk_ids,tokens,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,reveal_to_commit_us,packing_delay_us,post_pack_enqueue_delay_us,gpu_queue_delay_us,gpu_queue_clock_map_raw_us,adapter_issue_host_ns,adapter_issue_before_final_router,ready_to_gpu_start_us,bridge_publish_delay_us,state_binder_guard_us,frozen_cpu_packing_us,digest_bookkeeping_us,adapter_cpu_byte_pack_us,native_wrapper_to_launch_return_us,kernel_launch_api_us,put_kernel_duration_us,queue_previous_put_us,queue_future_router_us,queue_staging_us,queue_other_idle_us,native_put_issue_before_final_router,put_gpu_start_after_final_router,router_put_gpu_overlap,wrong_event_dependency,future_pack_dependency,event_reuse_hazard,put_blocked_by_previous_wait,put_blocked_by_previous_put,put_blocked_by_unresolved_event,pack_event_id,pack_event_producer_stream,comm_stream,comm_stream_sequence_number,preceding_operation,dependency_resolved_sync
13042,balanced,0,0,normal,0,0,0,512,10813313623090879,10813313623459348,10813313763262454,10813313763429307,10813313768876413,10813313768988281,10813313769119474,10813313783072179,10813313769208672,10813313783127720,10813313785044651,10813313785042692,10813313785053929,10813313785164658,10813313785170484,10813313785350274,10813313785178420,10813313786463545,N/A,10813313926534483,10813313926546733,10813313768609682,19809.725,1972.472,305.623,0.0,-171.854,10813313782314735,False,21915.966,166.853,5690.167,841.037,12186.045,676.301,185.616,179.79,1285.125,0.0,0.0,0.0,0.0,False,True,False,0,0,0,0,0,0,139860574623392,0,158579856,1,origin_event,False
13042,balanced,0,0,normal,1,1,1,512,10813313763411874,10813313766190708,10813313766650896,10813313766712725,10813313789154742,10813313789252419,10813313789334954,10813313803423875,10813313789422079,10813313803470524,10813313804817082,10813313804814189,10813313804824108,10813313804921825,10813313804927851,10813313804934687,10813313804935483,10813313805474108,N/A,10813313926548795,10813313926553920,10813313768609682,36772.979,1393.207,117.605,0.796,0.796,10813313801493041,False,38284.587,61.829,22622.229,840.112,11175.405,1867.42,12.862,6.836,538.625,0.0,0.0,0.0,0.796,False,True,False,0,0,0,0,0,0,139860574624512,0,158579856,2,previous_put_or_self_copy,False
13042,balanced,0,0,normal,2,2,2,512,10813313766712715,10813313766809680,10813313767043566,10813313767068837,10813313808781264,10813313808897765,10813313808985458,10813313821799898,10813313809067792,10813313821844151,10813313823165104,10813313823159363,10813313823167959,10813313823261701,10813313823267216,10813313823273268,10813313823275326,10813313823916326,N/A,10813313926555951,10813313926561076,10813313768609682,54756.332,1365.206,108.164,2.058,2.058,10813313821225275,False,56231.76,25.271,41916.621,839.44,11267.089,522.09,11.567,6.052,641.0,0.0,0.0,0.0,2.058,False,True,False,0,0,0,0,0,0,139860574625632,0,158579856,3,previous_put_or_self_copy,False
13042,balanced,0,0,normal,3,3,3,512,10813313767068502,10813313767141100,10813313767339022,10813313767366925,10813313827103877,10813313827228354,10813313827312808,10813313840071387,10813313827391900,10813313840115391,10813313841414829,10813313841409262,10813313841417838,10813313841512418,10813313841517936,10813313841524016,10813313841526076,10813313842363701,N/A,10813313926564171,10813313926568264,10813313768609682,72732.365,1343.442,109.187,2.06,2.06,10813313839489877,False,74187.054,27.903,59945.883,843.179,11208.02,530.295,11.598,6.08,837.625,0.0,0.0,0.0,2.06,False,True,False,0,0,0,0,0,0,139860574626752,0,158579856,4,previous_put_or_self_copy,False
13042,balanced,0,0,normal,4,4,4,512,10813313767366848,10813313767462360,10813313767675158,10813313767699712,10813313849069270,10813313849216427,10813313849330375,10813313862149929,10813313849400435,10813313862196903,10813313863527104,10813313863521501,10813313863529929,10813313863626211,10813313863631707,10813313863637973,10813313863640358,10813313864547670,N/A,10813313926571327,10813313926575420,10813313768609682,94474.771,1377.175,110.869,2.385,2.385,10813313861464535,False,95965.2,24.554,81630.663,836.951,11177.973,622.616,11.762,6.266,907.312,0.0,0.0,0.0,2.385,False,True,False,0,0,0,0,0,0,139860574627872,0,158579856,5,previous_put_or_self_copy,False
13042,balanced,0,0,normal,5,5,5,512,10813313767699677,10813313767766680,10813313768063342,10813313768088598,10813313867329396,10813313867477166,10813313867585122,10813313880383424,10813313867652800,10813313880428227,10813313881762486,10813313881756526,10813313881764779,10813313881857647,10813313881863085,10813313881869461,10813313881871701,10813313882659139,N/A,10813313926578483,10813313926582608,10813313768609682,112320.082,1379.062,106.975,2.24,2.24,10813313879698800,False,113808.359,25.256,99496.524,842.197,11155.894,632.724,11.814,6.376,787.438,0.0,0.0,0.0,2.24,False,True,False,0,0,0,0,0,0,139860574628992,0,158579856,6,previous_put_or_self_copy,False
13042,balanced,0,0,normal,6,7,6+7,1024,10813313768360589,10813313768424532,10813313768609682,10813313768630849,10813313889053029,10813313889357346,10813313889465410,10813313921439869,10813313889537723,10813313921501865,10813313923784367,10813313923779101,10813313923788455,10813313923900010,10813313923906037,10813313923913349,10813313923915045,10813313926532389,N/A,10813313926585640,10813313931495733,10813313768609682,152830.187,2344.498,128.982,1.696,1.696,10813313918099934,False,155305.363,21.167,120834.561,1665.62,26840.558,3282.321,13.339,7.312,2617.344,0.0,0.0,0.0,1.696,False,True,False,0,0,0,0,0,0,139860574630784,0,158579856,7,previous_put_or_self_copy,False
13042,balanced,0,0,router_absent,0,0,0,512,10813314672698079,10813314673024936,10813314673812264,10813314673992933,10813314678214259,10813314678295823,10813314678413879,10813314691832314,10813314678490519,10813314691880027,10813314693345375,10813314693342356,10813314693351990,10813314693455141,10813314693460415,10813314693473150,10813314693466591,10813314694372833,N/A,10813314829558232,10813314829563372,10813314790272838,18020.05,1513.061,127.775,0.0,-6.559,10813314691126166,True,19654.327,180.669,4420.946,828.878,11754.514,649.05,18.009,12.735,906.242,0.0,0.0,0.0,0.0,True,False,True,0,0,0,0,0,0,139860574621488,0,158579856,1,origin_event,False
13042,balanced,0,0,router_absent,1,1,1,512,10813314693518728,10813314693629896,10813314694403944,10813314694402484,10813314698094868,10813314698183291,10813314698254826,10813314710966665,10813314698332773,10813314711013473,10813314712377441,10813314712374011,10813314712382080,10813314712475349,10813314712481288,10813314712488147,10813314712487387,10813314713215458,N/A,10813314829566434,10813314829571559,10813314790272838,16562.721,1410.776,110.706,0.0,-0.76,10813314710338176,True,18083.443,-1.46,3852.342,831.584,11127.119,577.555,12.798,6.859,728.071,0.0,0.0,0.0,0.0,True,False,True,0,0,0,0,0,0,139860574620368,0,158579856,2,previous_put_or_self_copy,False
13042,balanced,0,0,router_absent,2,2,2,512,10813314712530872,10813314712637608,10813314713244744,10813314713243075,10813314716890130,10813314717001011,10813314717084432,10813314729829216,10813314717161863,10813314729876579,10813314731222114,10813314731218398,10813314731227165,10813314731322567,10813314731328340,10813314731335541,10813314731335137,10813314732729825,N/A,10813314829573607,10813314829578716,10813314790272838,16584.472,1392.898,113.427,0.0,-0.404,10813314729202856,True,18090.393,-1.669,3841.357,831.463,11164.087,573.976,12.974,7.201,1394.688,0.0,0.0,0.0,0.0,True,False,True,0,0,0,0,0,0,139860574632016,0,158579856,3,previous_put_or_self_copy,False
