rank,category,name,start_us,duration_us,end_us,device,stream,grid,block,registers_per_thread,shared_memory,blocks_per_sm,warps_per_sm,estimated_occupancy_percent
0,kernel,volta_sgemm_32x32_sliced1x4_nn,3649352491512.016,19.648,3649352491531.664,0,21,"[1, 16, 12]","[128, 1, 1]",86,32768,2.4,9.6,15
0,kernel,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, float, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",3649352502820.778,3.072,3649352502823.8496,0,21,"[1, 32, 1]","[32, 16, 1]",32,0,0.4,6.4,10
0,kernel,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",3649352514222.5,3.008,3649352514225.508,0,21,"[8, 1, 1]","[128, 1, 1]",16,0,0.1,0.4,1
0,gpu_memcpy,Memcpy DtoD (Device -> Device),3649352514456.322,1.792,3649352514458.114,0,21,,,,,,,
0,kernel,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}, std::array<char*, 3ul> >(int, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}, std::array<char*, 3ul>)",3649352566701.089,1.856,3649352566702.945,0,21,"[2, 1, 1]","[128, 1, 1]",32,0,0.025,0.1,0
0,gpu_memcpy,Memcpy DtoD (Device -> Device),3649352566965.631,1.76,3649352566967.3906,0,21,,,,,,,
0,kernel,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>::result_type*)",3649352567024.127,1.632,3649352567025.759,0,21,"[1, 1, 1]","[64, 1, 1]",16,0,0.0125,0.025,0
0,kernel,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1})",3649352577559.902,2.656,3649352577562.5576,0,21,"[8, 1, 1]","[128, 1, 1]",16,0,0.1,0.4,1
0,gpu_memcpy,Memcpy DtoD (Device -> Device),3649352577631.005,1.632,3649352577632.6367,0,21,,,,,,,
0,kernel,"void at::native::radixSortKVInPlace<2, -1, 16, 2, float, long, unsigned int>(at::cuda::detail::TensorInfo<float, unsigned int>, unsigned int, unsigned int, unsigned int, at::cuda::detail::TensorInfo<long, unsigned int>, unsigned int, bool)",3649352600159.667,8.704,3649352600168.371,0,21,"[512, 1, 1]","[16, 1, 1]",44,672,6.4,3.2,5
