scenario,action_index,cpu_action_id,gpu_action_id,cpu_descriptor_id,gpu_descriptor_id,cpu_chunk_id,gpu_chunk_id,cpu_reveal_epoch,gpu_reveal_epoch,cpu_src_rank,gpu_src_rank,cpu_dst_rank,gpu_dst_rank,cpu_src_offset,gpu_src_offset,cpu_dst_offset,gpu_dst_offset,cpu_token_count,gpu_token_count,cpu_bytes,gpu_bytes,cpu_route_id,gpu_route_id,cpu_flags,gpu_flags,equal
balanced,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,525312,525312,1,1,64,64,0,0,3,3,True
balanced,1,1,1,0,0,0,0,1,1,0,0,1,1,4104,4104,525312,525312,1,1,64,64,1,1,1,1,True
balanced,2,2,2,0,0,0,0,1,1,0,0,2,2,8208,8208,525312,525312,1,1,64,64,2,2,1,1,True
balanced,3,3,3,0,0,0,0,1,1,0,0,3,3,12312,12312,525312,525312,1,1,64,64,3,3,1,1,True
balanced,4,4,4,1,1,1,1,2,2,0,0,0,0,16416,16416,541728,541728,1,1,64,64,0,0,3,3,True
balanced,5,5,5,1,1,1,1,2,2,0,0,1,1,20520,20520,541728,541728,1,1,64,64,1,1,1,1,True
balanced,6,6,6,1,1,1,1,2,2,0,0,2,2,24624,24624,541728,541728,1,1,64,64,2,2,1,1,True
balanced,7,7,7,1,1,1,1,2,2,0,0,3,3,28728,28728,541728,541728,1,1,64,64,3,3,1,1,True
skewed,0,0,0,0,0,0,0,1,1,0,0,2,2,8208,8208,525312,525312,1,1,64,64,2,2,1,1,True
skewed,1,1,1,0,0,0,0,1,1,0,0,3,3,12312,12312,525312,525312,7,7,448,448,3,3,1,1,True
all_to_one_like,0,0,0,0,0,0,0,1,1,0,0,2,2,8208,8208,525312,525312,8,8,512,512,2,2,1,1,True
zero_sized_pair,0,0,0,0,0,0,0,1,1,0,0,1,1,4104,4104,525312,525312,3,3,192,192,1,1,1,1,True
multiple_progressive_shards,0,0,0,0,0,0,0,1,1,0,0,1,1,4104,4104,525312,525312,1,1,64,64,1,1,1,1,True
multiple_progressive_shards,1,1,1,0,0,0,0,1,1,0,0,2,2,8208,8208,525312,525312,1,1,64,64,2,2,1,1,True
multiple_progressive_shards,2,2,2,1,1,1,1,2,2,0,0,3,3,28728,28728,541728,541728,1,1,64,64,3,3,1,1,True
multiple_progressive_shards,3,3,3,2,2,2,2,3,3,0,0,1,1,36936,36936,558144,558144,2,2,128,128,1,1,1,1,True
multiple_progressive_shards,4,4,4,2,2,2,2,3,3,0,0,2,2,41040,41040,558144,558144,1,1,64,64,2,2,1,1,True
multiple_progressive_shards,5,5,5,3,3,3,3,4,4,0,0,0,0,49248,49248,574560,574560,1,1,64,64,0,0,3,3,True
multiple_progressive_shards,6,6,6,3,3,3,3,4,4,0,0,3,3,61560,61560,574560,574560,1,1,64,64,3,3,1,1,True
top_k_gt_1,0,0,0,0,0,0,0,1,1,0,0,1,1,4104,4104,525312,525312,1,1,64,64,1,1,1,1,True
top_k_gt_1,1,1,1,0,0,0,0,1,1,0,0,2,2,8208,8208,525312,525312,2,2,128,128,2,2,1,1,True
top_k_gt_1,2,2,2,0,0,0,0,1,1,0,0,3,3,12312,12312,525312,525312,1,1,64,64,3,3,1,1,True
maximum_slot_capacity,0,0,0,0,0,0,0,1,1,0,0,3,3,12312,12312,525312,525312,64,64,4096,4096,3,3,1,1,True
router_resident_top_k,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,525312,525312,4,4,256,256,0,0,3,3,True
router_resident_top_k,1,1,1,0,0,0,0,1,1,0,0,1,1,4104,4104,525312,525312,3,3,192,192,1,1,1,1,True
router_resident_top_k,2,2,2,0,0,0,0,1,1,0,0,2,2,8208,8208,525312,525312,6,6,384,384,2,2,1,1,True
router_resident_top_k,3,3,3,0,0,0,0,1,1,0,0,3,3,12312,12312,525312,525312,3,3,192,192,3,3,1,1,True
router_resident_top_k,4,4,4,1,1,1,1,2,2,0,0,0,0,16416,16416,541728,541728,3,3,192,192,0,0,3,3,True
router_resident_top_k,5,5,5,1,1,1,1,2,2,0,0,1,1,20520,20520,541728,541728,6,6,384,384,1,1,1,1,True
router_resident_top_k,6,6,6,1,1,1,1,2,2,0,0,2,2,24624,24624,541728,541728,2,2,128,128,2,2,1,1,True
router_resident_top_k,7,7,7,1,1,1,1,2,2,0,0,3,3,28728,28728,541728,541728,5,5,320,320,3,3,1,1,True
router_resident_top_k,8,8,8,2,2,2,2,3,3,0,0,0,0,32832,32832,558144,558144,2,2,128,128,0,0,3,3,True
router_resident_top_k,9,9,9,2,2,2,2,3,3,0,0,1,1,36936,36936,558144,558144,4,4,256,256,1,1,1,1,True
router_resident_top_k,10,10,10,2,2,2,2,3,3,0,0,2,2,41040,41040,558144,558144,5,5,320,320,2,2,1,1,True
router_resident_top_k,11,11,11,2,2,2,2,3,3,0,0,3,3,45144,45144,558144,558144,5,5,320,320,3,3,1,1,True
router_resident_top_k,12,12,12,3,3,3,3,4,4,0,0,0,0,49248,49248,574560,574560,3,3,192,192,0,0,3,3,True
router_resident_top_k,13,13,13,3,3,3,3,4,4,0,0,1,1,53352,53352,574560,574560,5,5,320,320,1,1,1,1,True
router_resident_top_k,14,14,14,3,3,3,3,4,4,0,0,2,2,57456,57456,574560,574560,1,1,64,64,2,2,1,1,True
router_resident_top_k,15,15,15,3,3,3,3,4,4,0,0,3,3,61560,61560,574560,574560,7,7,448,448,3,3,1,1,True
