scenario,record_index,chunk_id,descriptor_id,t0_router_complete_ns,t1_reveal_published_ns,router_to_reveal_us
balanced,0,0,0,1786692166959136736,1786692166959137760,1.024
balanced,1,1,1,1786692166960679904,1786692166960679904,0.0
skewed,0,0,0,1786692166963383264,1786692166963384288,1.024
all_to_one_like,0,0,0,1786692166965302240,1786692166965303264,1.024
zero_sized_pair,0,0,0,1786692166967121888,1786692166967121888,0.0
multiple_progressive_shards,0,0,0,1786692166969117664,1786692166969118688,1.024
multiple_progressive_shards,1,1,1,1786692166970660832,1786692166970660832,0.0
multiple_progressive_shards,2,2,2,1786692166972204000,1786692166972204000,0.0
multiple_progressive_shards,3,3,3,1786692166973747168,1786692166973747168,0.0
top_k_gt_1,0,0,0,1786692166975576032,1786692166975577056,1.024
zero_demand,0,0,0,1786692166977341408,1786692166977341408,0.0
maximum_slot_capacity,0,0,0,1786692166979074016,1786692166979075040,1.024
