scenario,record_index,chunk_id,descriptor_id,t2_reveal_consumed_ns,t3_binder_complete_ns,t4_guard_complete_ns,t5_action_published_ns,reveal_queue_wait_us,binder_latency_us,guard_latency_us,reveal_to_commit_us
balanced,0,0,0,1786692166961249248,1786692166961264608,1786692166961264608,1786692166961270752,2111.488,15.36,0.0,2132.992
balanced,1,1,1,1786692166961271776,1786692166961283040,1786692166961283040,1786692166961286112,591.872,11.264,0.0,606.208
skewed,0,0,0,1786692166963430368,1786692166963439584,1786692166963439584,1786692166963442656,46.08,9.216,0.0,58.368
all_to_one_like,0,0,0,1786692166965349344,1786692166965356512,1786692166965356512,1786692166965358560,46.08,7.168,0.0,55.296
zero_sized_pair,0,0,0,1786692166967168992,1786692166967175136,1786692166967175136,1786692166967177184,47.104,6.144,0.0,55.296
multiple_progressive_shards,0,0,0,1786692166969168864,1786692166969180128,1786692166969180128,1786692166969183200,50.176,11.264,0.0,64.512
multiple_progressive_shards,1,1,1,1786692166970662880,1786692166970668000,1786692166970668000,1786692166970669024,2.048,5.12,0.0,8.192
multiple_progressive_shards,2,2,2,1786692166972206048,1786692166972212192,1786692166972212192,1786692166972215264,2.048,6.144,0.0,11.264
multiple_progressive_shards,3,3,3,1786692166973749216,1786692166973755360,1786692166973755360,1786692166973758432,2.048,6.144,0.0,11.264
top_k_gt_1,0,0,0,1786692166975622112,1786692166975631328,1786692166975631328,1786692166975635424,45.056,9.216,0.0,58.368
zero_demand,0,0,0,1786692166977387488,1786692166977389536,1786692166977389536,1786692166977391584,46.08,2.048,0.0,50.176
maximum_slot_capacity,0,0,0,1786692166979120096,1786692166979134432,1786692166979134432,1786692166979136480,45.056,14.336,0.0,61.44
