rank,action_index,equal,cpu_action_id,gpu_action_id,cpu_descriptor_id,gpu_descriptor_id,cpu_chunk_id,gpu_chunk_id,cpu_reveal_epoch,gpu_reveal_epoch,cpu_src_rank,gpu_src_rank,cpu_dst_rank,gpu_dst_rank,cpu_src_offset,gpu_src_offset,cpu_dst_offset,gpu_dst_offset,cpu_token_count,gpu_token_count,cpu_bytes,gpu_bytes,cpu_route_id,gpu_route_id,cpu_flags,gpu_flags
0,0,True,0,0,0,0,0,0,1,1,0,0,0,0,0,0,34880,34880,16,16,2176,2176,0,0,3,3
0,1,True,1,1,0,0,0,0,1,1,0,0,1,1,4360,4360,34880,34880,16,16,2176,2176,1,1,1,1
0,2,True,2,2,1,1,1,1,2,2,0,0,0,0,8720,8720,43600,43600,16,16,2176,2176,0,0,3,3
0,3,True,3,3,1,1,1,1,2,2,0,0,1,1,13080,13080,43600,43600,16,16,2176,2176,1,1,1,1
0,4,True,4,4,2,2,2,2,3,3,0,0,0,0,17440,17440,52320,52320,16,16,2176,2176,0,0,3,3
0,5,True,5,5,2,2,2,2,3,3,0,0,1,1,21800,21800,52320,52320,16,16,2176,2176,1,1,1,1
0,6,True,6,6,3,3,3,3,4,4,0,0,0,0,26160,26160,61040,61040,16,16,2176,2176,0,0,3,3
0,7,True,7,7,3,3,3,3,4,4,0,0,1,1,30520,30520,61040,61040,16,16,2176,2176,1,1,1,1
1,0,True,0,0,0,0,0,0,1,1,1,1,0,0,0,0,39240,39240,16,16,2176,2176,2,2,1,1
1,1,True,1,1,0,0,0,0,1,1,1,1,1,1,4360,4360,39240,39240,16,16,2176,2176,3,3,3,3
1,2,True,2,2,1,1,1,1,2,2,1,1,0,0,8720,8720,47960,47960,16,16,2176,2176,2,2,1,1
1,3,True,3,3,1,1,1,1,2,2,1,1,1,1,13080,13080,47960,47960,16,16,2176,2176,3,3,3,3
1,4,True,4,4,2,2,2,2,3,3,1,1,0,0,17440,17440,56680,56680,16,16,2176,2176,2,2,1,1
1,5,True,5,5,2,2,2,2,3,3,1,1,1,1,21800,21800,56680,56680,16,16,2176,2176,3,3,3,3
1,6,True,6,6,3,3,3,3,4,4,1,1,0,0,26160,26160,65400,65400,16,16,2176,2176,2,2,1,1
1,7,True,7,7,3,3,3,3,4,4,1,1,1,1,30520,30520,65400,65400,16,16,2176,2176,3,3,3,3
