rank,action_id,descriptor_id,src_rank,dst_rank,logical_src_offset,logical_dst_offset,physical_src_offset,physical_dst_offset,payload_bytes,physical_bytes,t2_action_consume_ns,t3_pack_start_ns,t4_pack_end_ns,commit_to_pack_us,pack_latency_us,error_code
0,0,0,0,0,0,34880,0,34880,2176,2184,1786695642277581792,1786695642277581792,1786695642277594080,1.024,12.288,0
0,1,0,0,1,4360,34880,4360,34880,2176,2184,1786695642277598176,1786695642277598176,1786695642277610464,17.408,12.288,0
0,2,1,0,0,8720,43600,8720,43600,2176,2184,1786695642280923104,1786695642280923104,1786695642280935392,1.024,12.288,0
0,3,1,0,1,13080,43600,13080,43600,2176,2184,1786695642280938464,1786695642280938464,1786695642280950752,16.384,12.288,0
0,4,2,0,0,17440,52320,17440,52320,2176,2184,1786695642284264416,1786695642284264416,1786695642284276704,1.024,12.288,0
0,5,2,0,1,21800,52320,21800,52320,2176,2184,1786695642284280800,1786695642284280800,1786695642284292064,17.408,11.264,0
0,6,3,0,0,26160,61040,26160,61040,2176,2184,1786695642287606752,1786695642287606752,1786695642287619040,1.024,12.288,0
0,7,3,0,1,30520,61040,30520,61040,2176,2184,1786695642287622112,1786695642287623136,1786695642287634400,17.408,11.264,0
1,0,0,1,0,0,39240,0,39240,2176,2184,1786695643470269408,1786695643470269408,1786695643470281696,1.024,12.288,0
1,1,0,1,1,4360,39240,4360,39240,2176,2184,1786695643470288864,1786695643470288864,1786695643470301152,20.48,12.288,0
1,2,1,1,0,8720,47960,8720,47960,2176,2184,1786695643473611744,1786695643473611744,1786695643473624032,1.024,12.288,0
1,3,1,1,1,13080,47960,13080,47960,2176,2184,1786695643473630176,1786695643473630176,1786695643473641440,19.456,11.264,0
1,4,2,1,0,17440,56680,17440,56680,2176,2184,1786695643476955104,1786695643476955104,1786695643476967392,1.024,12.288,0
1,5,2,1,1,21800,56680,21800,56680,2176,2184,1786695643476973536,1786695643476973536,1786695643476984800,19.456,11.264,0
1,6,3,1,0,26160,65400,26160,65400,2176,2184,1786695643480298464,1786695643480298464,1786695643480310752,1.024,12.288,0
1,7,3,1,1,30520,65400,30520,65400,2176,2184,1786695643480316896,1786695643480316896,1786695643480329184,19.456,12.288,0
