rank,commit_id,descriptor_id,peer,token_count,is_remote,bytes,t_commit_consumed,t_dispatch_start,t_dispatch_end,t_remote_completion,error_code,final_router_completion,before_final_router
0,0,0,0,16,0,1552,1786802373505982432,1786802373505982432,1786802373505991648,1786802373505989600,0,1786802373515207648,False
0,0,0,1,16,1,1552,1786802373505982432,1786802373505982432,1786802373505991648,1786802373505989600,0,1786802373515207648,True
0,1,1,0,16,0,1552,1786802373509055456,1786802373509055456,1786802373509062624,1786802373509058528,0,1786802373515207648,False
0,1,1,1,16,1,1552,1786802373509055456,1786802373509055456,1786802373509062624,1786802373509058528,0,1786802373515207648,True
0,2,2,0,16,0,1552,1786802373512141792,1786802373512141792,1786802373512148960,1786802373512143840,0,1786802373515207648,False
0,2,2,1,16,1,1552,1786802373512141792,1786802373512141792,1786802373512148960,1786802373512143840,0,1786802373515207648,True
0,3,3,0,16,0,1552,1786802373515226080,1786802373515226080,1786802373515233248,1786802373515227104,0,1786802373515207648,False
0,3,3,1,16,1,1552,1786802373515226080,1786802373515226080,1786802373515233248,1786802373515227104,0,1786802373515207648,False
1,0,0,0,16,1,1552,1786802383234840544,1786802383234840544,1786802383234849760,1786802383234851808,0,1786802383244061664,True
1,0,0,1,16,0,1552,1786802383234840544,1786802383234840544,1786802383234849760,1786802383234851808,0,1786802383244061664,False
1,1,1,0,16,1,1552,1786802383237911520,1786802383237911520,1786802383237918688,1786802383237923808,0,1786802383244061664,True
1,1,1,1,16,0,1552,1786802383237911520,1786802383237911520,1786802383237918688,1786802383237923808,0,1786802383244061664,False
1,2,2,0,16,1,1552,1786802383240996832,1786802383240996832,1786802383241004000,1786802383241010144,0,1786802383244061664,True
1,2,2,1,16,0,1552,1786802383240996832,1786802383240996832,1786802383241004000,1786802383241010144,0,1786802383244061664,False
1,3,3,0,16,1,1552,1786802383244080096,1786802383244080096,1786802383244087264,1786802383244094432,0,1786802383244061664,False
1,3,3,1,16,0,1552,1786802383244080096,1786802383244080096,1786802383244087264,1786802383244094432,0,1786802383244061664,False
